"x","sin(x)","sin'(x)"
0.000000,0.000000,0.999836
0.031416,0.031411,0.999342
0.062832,0.062791,0.997863
0.094248,0.094108,0.995398
0.125664,0.125333,0.991951
0.157080,0.156435,0.987526
0.188496,0.187382,0.982126
0.219912,0.218144,0.975756
0.251328,0.248690,0.968424
0.282744,0.278992,0.960136
0.314160,0.309018,0.950900
0.345576,0.338738,0.940726
0.376992,0.368125,0.929623
0.408408,0.397149,0.917603
0.439824,0.425780,0.904678
0.471240,0.453991,0.890860
0.502656,0.481754,0.876162
0.534072,0.509042,0.860600
0.565488,0.535828,0.844189
0.596904,0.562084,0.826944
0.628320,0.587786,0.808883
0.659736,0.612908,0.790024
0.691152,0.637425,0.770386
0.722568,0.661313,0.749987
0.753984,0.684548,0.728848
0.785400,0.707108,0.706990
0.816815,0.728970,0.684433
0.848231,0.750112,0.661202
0.879647,0.770514,0.637318
0.911063,0.790156,0.612805
0.942479,0.809018,0.587687
0.973895,0.827082,0.561990
1.005311,0.844329,0.535737
1.036727,0.860743,0.508956
1.068143,0.876308,0.481673
1.099559,0.891007,0.453914
1.130975,0.904828,0.425708
1.162391,0.917755,0.397081
1.193807,0.929777,0.368062
1.225223,0.940881,0.338680
1.256639,0.951057,0.308964
1.288055,0.960294,0.278943
1.319471,0.968584,0.248647
1.350887,0.975917,0.218105
1.382303,0.982288,0.187348
1.413719,0.987689,0.156406
1.445135,0.992115,0.125310
1.476551,0.995562,0.094090
1.507967,0.998027,0.062778
1.539383,0.999507,0.031403
1.570799,1.000000,-0.000003
1.602215,0.999506,-0.031408
1.633631,0.998027,-0.062783
1.665047,0.995562,-0.094096
1.696463,0.992114,-0.125315
1.727879,0.987688,-0.156412
1.759295,0.982287,-0.187353
1.790711,0.975916,-0.218110
1.822127,0.968582,-0.248652
1.853543,0.960293,-0.278948
1.884959,0.951056,-0.308969
1.916375,0.940880,-0.338685
1.947791,0.929775,-0.368067
1.979207,0.917753,-0.397086
2.010623,0.904826,-0.425712
2.042039,0.891005,-0.453919
2.073455,0.876305,-0.481678
2.104871,0.860740,-0.508961
2.136287,0.844326,-0.535742
2.167703,0.827079,-0.561994
2.199119,0.809015,-0.587692
2.230535,0.790153,-0.612809
2.261951,0.770511,-0.637322
2.293367,0.750108,-0.661206
2.324783,0.728966,-0.684437
2.356199,0.707104,-0.706993
2.387614,0.684544,-0.728852
2.419030,0.661309,-0.749990
2.450446,0.637421,-0.770389
2.481862,0.612904,-0.790028
2.513278,0.587782,-0.808886
2.544694,0.562080,-0.826947
2.576110,0.535823,-0.844191
2.607526,0.509038,-0.860603
2.638942,0.481750,-0.876165
2.670358,0.453986,-0.890862
2.701774,0.425775,-0.904680
2.733190,0.397144,-0.917606
2.764606,0.368120,-0.929625
2.796022,0.338733,-0.940728
2.827438,0.309012,-0.950902
2.858854,0.278986,-0.960137
2.890270,0.248685,-0.968425
2.921686,0.218138,-0.975757
2.953102,0.187376,-0.982127
2.984518,0.156429,-0.987527
3.015934,0.125328,-0.991952
3.047350,0.094103,-0.995399
3.078766,0.062785,-0.997863
3.110182,0.031405,-0.999342
3.141598,-0.000005,-0.999836
3.173014,-0.031416,-0.999342
3.204430,-0.062796,-0.997862
